chrom	win.start	normalized	segmented	CN
chr1	0	-0.936	-0.27	2
chr1	200	-0.7413	-0.27	2
chr1	400	-0.3377	-0.27	2
chr1	600	0.3812	-0.27	2
chr1	800	-0.2192	-0.27	2
chr1	1000	0.826	-0.27	2
chr1	1200	0.2802	-0.27	2
chr1	1400	0.2302	-0.27	2
chr1	1600	0.0839	-0.27	2
chr1	1800	-0.2381	-0.27	2
chr1	2000	-0.3624	-0.27	2
chr1	2200	0.2503	-0.27	2
chr1	2400	-0.8203	-0.27	2
chr1	2600	-0.7511	-0.27	2
chr1	2800	-0.734	-0.27	2
chr1	3000	-0.165	-0.27	2
chr1	3200	-0.3042	-0.27	2
chr1	3400	0.3483	-0.27	2
chr1	3600	-1.0442	-0.27	2
chr1	3800	-0.827	-0.27	2
chr1	4000	-0.9076	-0.27	2
chr1	4200	-0.8378	-0.27	2
chr1	4400	-0.7951	-0.27	2
chr1	4600	-0.7349	-0.27	2
chr1	4800	-0.8502	-0.27	2
chr1	5000	-0.8382	-0.27	2
chr1	5200	-0.8155	-0.27	2
chr1	5400	-0.8218	-0.27	2
chr1	5600	-0.3938	-0.27	2
chr1	5800	0.0204	-0.27	2
chr1	6000	-0.0133	-0.27	2
chr1	6200	-0.0435	-0.27	2
chr1	6400	0.3895	-0.27	2
chr1	6600	-0.7161	-0.27	2
chr1	6800	-0.7775	-0.27	2
chr1	7000	-0.8342	-0.27	2
chr1	7200	-0.7788	-0.27	2
chr1	7400	-0.366	-0.27	2
chr1	7600	0.8281	-0.27	2
chr1	7800	-0.4239	-0.27	2
chr1	8000	-0.4351	-0.27	2
chr1	8200	-0.2185	-0.27	2
chr1	8400	-0.5546	-0.27	2
chr1	8600	-0.4683	-0.27	2
chr1	8800	0.2086	-0.27	2
chr1	9000	-0.5448	-0.27	2
chr1	9200	-0.6658	-0.27	2
chr1	9400	0.2136	-0.27	2
chr1	9600	-0.4407	-0.27	2
chr1	9800	-0.109	-0.27	2
chr1	10000	0.749	-0.27	2
chr1	10200	0.2854	-0.27	2
chr1	10400	-0.1826	-0.27	2
chr1	10600	-0.7481	-0.27	2
chr1	10800	0.8569	-0.27	2
chr1	11000	0.2585	-0.27	2
chr1	11200	-0.3373	-0.27	2
chr1	11400	-0.2245	-0.27	2
