chrom	win.start	normalized	segmented	CN
chr1	0	NA	NA	NA
chr1	200	NA	NA	NA
chr1	400	NA	NA	NA
chr1	600	0.217	0.0377	3
chr1	800	0.0122	0.0377	3
chr1	1000	-0.0623	0.0377	3
chr1	1200	0.0377	0.0377	3
chr1	1400	0.1356	0.0377	3
chr1	1600	0.2291	0.0377	3
chr1	1800	0.1752	0.0377	3
chr1	2000	-0.0696	0.0377	3
chr1	2200	0.0156	0.0377	3
chr1	2400	0.7722	0.84015	4
chr1	2600	0.9081	0.84015	4
chr1	2800	-0.3138	-0.2107	2
chr1	3000	-0.0076	-0.2107	2
chr1	3200	-0.0055	-0.2107	2
chr1	3400	NA	NA	NA
chr1	3600	-0.1539	-0.2107	2
chr1	3800	-2.2893	-0.2107	2
chr1	4000	0.0233	-0.2107	2
chr1	4200	0.3396	-0.2107	2
chr1	4400	0.097	-0.2107	2
chr1	4600	-0.0387	-0.2107	2
chr1	4800	0.0312	-0.2107	2
chr1	5000	-0.0806	-0.2107	2
chr1	5200	0.1016	-0.2107	2
chr1	5400	0.1559	-0.2107	2
chr1	5600	0.3178	-0.2107	2
chr1	5800	0.1238	-0.2107	2
chr1	6000	NA	NA	NA
chr1	6200	NA	NA	NA
chr1	6400	-0.202	-0.2107	2
chr1	6600	-0.1886	-0.2107	2
chr1	6800	-0.2946	-0.2107	2
chr1	7000	-0.5081	-0.2107	2
chr1	7200	-0.194	-0.2107	2
chr1	7400	-0.4226	-0.2107	2
chr1	7600	-0.378	-0.2107	2
chr1	7800	-0.2346	-0.2107	2
chr1	8000	-0.0771	-0.2107	2
chr1	8200	0.4636	-0.2107	2
chr1	8400	-0.4397	-0.2107	2
chr1	8600	0.3588	-0.2107	2
chr1	8800	1.2595	-0.2107	2
chr1	9000	-0.0744	-0.2107	2
chr1	9200	-0.3153	-0.2107	2
chr1	9400	-0.2537	-0.2107	2
chr1	9600	-0.1207	-0.2107	2
chr1	9800	-0.2013	-0.2107	2
chr1	10000	-0.2551	-0.2107	2
chr1	10200	-0.1683	-0.2107	2
chr1	10400	-0.2259	-0.2107	2
chr1	10600	-0.6486	-0.2107	2
chr1	10800	-0.4438	-0.2107	2
